"id","hotel_id","hotel_facility_id"
1,1,1
2,3,1
3,4,1
4,7,1
5,10,1
6,11,1
7,12,1
8,15,1
9,16,1
10,17,1
11,18,1
12,19,1
13,20,1
14,21,1
15,24,1
16,25,1
17,27,1
18,28,1
19,30,1
20,31,1
21,1,2
22,4,2
23,5,2
24,6,2
25,7,2
26,8,2
27,9,2
28,10,2
29,11,2
30,12,2
31,13,2
32,14,2
33,15,2
34,16,2
35,17,2
36,18,2
37,19,2
38,21,2
39,22,2
40,23,2
41,24,2
42,25,2
43,26,2
44,30,2
45,31,2
46,5,3
47,6,3
48,7,3
49,8,3
50,9,3
51,10,3
52,11,3
53,12,3
54,13,3
55,14,3
56,15,3
57,17,3
58,19,3
59,20,3
60,22,3
61,23,3
62,24,3
63,26,3
64,27,3
65,28,3
66,30,3
67,31,3
68,1,4
69,3,4
70,4,4
71,5,4
72,7,4
73,9,4
74,11,4
75,12,4
76,13,4
77,14,4
78,15,4
79,16,4
80,17,4
81,18,4
82,25,4
83,27,4
84,28,4
85,30,4
86,31,4
87,1,5
88,3,5
89,4,5
90,6,5
91,8,5
92,11,5
93,12,5
94,13,5
95,14,5
96,15,5
97,17,5
98,18,5
99,19,5
100,21,5
101,23,5
102,24,5
103,25,5
104,27,5
105,28,5
106,30,5
107,31,5
108,1,6
109,5,6
110,6,6
111,7,6
112,8,6
113,9,6
114,10,6
115,11,6
116,12,6
117,13,6
118,14,6
119,17,6
120,18,6
121,19,6
122,20,6
123,21,6
124,22,6
125,23,6
126,24,6
127,26,6
128,27,6
129,28,6
130,31,6
131,3,7
132,6,7
133,7,7
134,8,7
135,9,7
136,11,7
137,12,7
138,14,7
139,16,7
140,18,7
141,21,7
142,24,7
143,25,7
144,26,7
145,31,7
146,1,8
147,3,8
148,4,8
149,5,8
150,6,8
151,7,8
152,8,8
153,9,8
154,10,8
155,11,8
156,12,8
157,13,8
158,14,8
159,15,8
160,16,8
161,19,8
162,21,8
163,22,8
164,23,8
165,24,8
166,25,8
167,26,8
168,27,8
169,28,8
170,1,9
171,5,9
172,7,9
173,8,9
174,9,9
175,10,9
176,11,9
177,13,9
178,14,9
179,16,9
180,17,9
181,18,9
182,19,9
183,21,9
184,22,9
185,23,9
186,25,9
187,26,9
188,28,9
189,30,9
190,3,10
191,4,10
192,5,10
193,6,10
194,8,10
195,9,10
196,10,10
197,11,10
198,12,10
199,13,10
200,14,10
201,15,10
202,16,10
203,17,10
204,18,10
205,19,10
206,22,10
207,23,10
208,24,10
209,25,10
210,27,10
211,28,10
212,30,10
213,31,10
214,1,11
215,3,11
216,4,11
217,5,11
218,6,11
219,7,11
220,8,11
221,9,11
222,10,11
223,13,11
224,14,11
225,15,11
226,16,11
227,18,11
228,19,11
229,20,11
230,21,11
231,22,11
232,23,11
233,24,11
234,25,11
235,26,11
236,27,11
237,30,11
238,31,11
239,3,12
240,4,12
241,5,12
242,7,12
243,8,12
244,9,12
245,11,12
246,14,12
247,17,12
248,18,12
249,19,12
250,20,12
251,21,12
252,22,12
253,23,12
254,24,12
255,25,12
256,26,12
257,27,12
258,28,12
259,30,12
260,31,12
261,1,13
262,3,13
263,6,13
264,7,13
265,8,13
266,9,13
267,10,13
268,11,13
269,12,13
270,13,13
271,17,13
272,18,13
273,19,13
274,20,13
275,21,13
276,22,13
277,23,13
278,24,13
279,25,13
280,26,13
281,27,13
282,28,13
283,1,14
284,3,14
285,4,14
286,6,14
287,8,14
288,9,14
289,11,14
290,12,14
291,14,14
292,15,14
293,16,14
294,17,14
295,18,14
296,19,14
297,20,14
298,21,14
299,24,14
300,25,14
301,26,14
302,27,14
303,28,14
304,30,14
305,31,14
306,1,15
307,3,15
308,4,15
309,5,15
310,6,15
311,7,15
312,8,15
313,10,15
314,11,15
315,12,15
316,14,15
317,15,15
318,16,15
319,17,15
320,19,15
321,21,15
322,22,15
323,23,15
324,25,15
325,26,15
326,27,15
327,30,15
328,1,16
329,3,16
330,4,16
331,5,16
332,6,16
333,7,16
334,8,16
335,9,16
336,10,16
337,11,16
338,12,16
339,13,16
340,14,16
341,15,16
342,16,16
343,17,16
344,21,16
345,23,16
346,25,16
347,26,16
348,1,17
349,4,17
350,5,17
351,7,17
352,8,17
353,9,17
354,11,17
355,12,17
356,13,17
357,16,17
358,18,17
359,19,17
360,20,17
361,21,17
362,22,17
363,23,17
364,24,17
365,26,17
366,27,17
367,28,17
368,30,17
369,1,18
370,3,18
371,4,18
372,5,18
373,6,18
374,7,18
375,8,18
376,12,18
377,13,18
378,14,18
379,15,18
380,18,18
381,20,18
382,21,18
383,22,18
384,24,18
385,25,18
386,26,18
387,27,18
388,28,18
389,30,18
390,31,18
391,1,19
392,4,19
393,5,19
394,6,19
395,7,19
396,9,19
397,13,19
398,16,19
399,17,19
400,18,19
401,19,19
402,20,19
403,21,19
404,23,19
405,24,19
406,25,19
407,26,19
408,27,19
409,1,20
410,3,20
411,7,20
412,8,20
413,9,20
414,11,20
415,12,20
416,13,20
417,15,20
418,17,20
419,18,20
420,19,20
421,20,20
422,21,20
423,22,20
424,23,20
425,25,20
426,26,20
427,27,20
428,28,20
429,30,20
430,31,20
431,1,21
432,3,21
433,5,21
434,6,21
435,7,21
436,9,21
437,10,21
438,11,21
439,12,21
440,14,21
441,15,21
442,16,21
443,18,21
444,19,21
445,20,21
446,21,21
447,22,21
448,23,21
449,25,21
450,27,21
451,28,21
452,30,21
453,31,22
454,31,23
